,name,feature,conv_layer,accuracy,recall,precision,f1,roc_auc,train_mean,train_std,val_mean,val_std
0,politifact,"['content', 'bert']",gcn,0.6877828054298643,0.8761061946902655,0.6428571428571429,0.7415730337078652,0.6834234677155031,1.1199910010610308,1.3772262671656819,1.1905130761010305,1.2083428709370831
1,politifact,"['bert', 'profile']",gcn,0.6561085972850679,0.34513274336283184,0.9512195121951219,0.5064935064935064,0.6633071124221567,0.777004386484623,0.9232055551574196,0.9270774304866791,0.6207408330549554
2,politifact,"['profile', 'spacy']",gcn,0.7828054298642534,0.6637168141592921,0.8823529411764706,0.7575757575757576,0.7855621107833497,0.46813332183020456,0.16162522007688884,0.5829154210431235,0.15343281792085653
3,politifact,"['content', 'bert']",sage,0.48868778280542985,0.0,0.0,0.0,0.5,1.843556978872844,2.6396994905539577,1.851881011894771,2.3279661294080247
4,politifact,"['bert', 'profile']",sage,0.6787330316742082,0.8849557522123894,0.6329113924050633,0.7380073800738007,0.6739593575876761,1.0982809441430228,1.2741341881624355,1.2088110753468104,1.6036242246778882
5,politifact,"['profile', 'spacy']",sage,0.7918552036199095,0.8584070796460177,0.7637795275590551,0.8083333333333333,0.7903146509341199,0.4784900635480881,0.1415064356552185,0.7318312832287379,0.13829753746000847
6,politifact,"['content', 'bert']",gat,0.48868778280542985,0.0,0.0,0.0,0.5,0.8264530999319893,0.3872753121616908,0.8792138389178685,0.46756942327519324
7,politifact,"['bert', 'profile']",gat,0.48868778280542985,0.0,0.0,0.0,0.5,0.7778208068438939,0.3656159426610696,0.8279384970664978,0.39832973617833983
8,politifact,"['profile', 'spacy']",gat,0.7963800904977375,0.6902654867256637,0.8863636363636364,0.7761194029850746,0.7988364470665356,0.3998149220432554,0.1592850138686564,0.5820902381624494,0.13794624485975798
9,gossipcop,"['content', 'bert']",gcn,0.638003136434919,0.9618997912317327,0.5841521394611727,0.7268783277460067,0.6374943982336674,0.6842601963451932,0.3452421726130253,0.6448611625603267,0.09324905338269297
10,gossipcop,"['bert', 'profile']",gcn,0.7561421850496602,0.6795407098121086,0.8032078963602715,0.7362171331636981,0.7562625015029129,0.59058450640194,0.1530413644947202,0.5745264867373875,0.08622259943810393
11,gossipcop,"['profile', 'spacy']",gcn,0.7271301620491375,0.81419624217119,0.693950177935943,0.7492795389048992,0.7269934090437102,0.6297397479178414,0.018472096179715753,0.6206966686248779,0.03428497410834612
12,gossipcop,"['content', 'bert']",sage,0.4992158912702561,0.0,0.0,0.0,0.5,0.7593737216222854,0.2818531410933189,0.6982594002996173,0.05413218467600505
13,gossipcop,"['bert', 'profile']",sage,0.4992158912702561,0.0,0.0,0.0,0.5,0.7197474533603305,0.168059287426386,0.6893299177714757,0.03600342955986118
14,gossipcop,"['profile', 'spacy']",sage,0.9231573444851019,0.9008350730688935,0.9431693989071038,0.9215162840363054,0.9231924056443944,0.41325491858380187,0.157092479251925,0.3728804755210877,0.12467048910101622
15,gossipcop,"['content', 'bert']",gat,0.4992158912702561,0.0,0.0,0.0,0.5,0.7287921046453809,0.20282083982739454,0.693379591873714,0.0012498947547852984
16,gossipcop,"['bert', 'profile']",gat,0.4992158912702561,0.0,0.0,0.0,0.5,0.7016509710796295,0.04776932024452249,0.6918075520651681,0.01273915010079013
17,gossipcop,"['profile', 'spacy']",gat,0.797961317302666,0.6617954070981211,0.9102656137832017,0.7663946811725597,0.7981751904600553,0.5782906344012608,0.050314190506717676,0.5278170565196446,0.06888627621532191
